"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added","cu_size","cu_size2"
8805,"UNION BAPTIST GREENBURGH",529534,0,0,1,200,200,200,200,"small","small"
9136,"LOCKPORT SCHOOLS",18646870,0,0,1,48,48,48,48,"medium","small"
9165,"BOURNS EMPLOYEES",73365879,0,0,1,15,15,15,15,"large","small"
9412,"VALLEY AGRICULTURAL",5248899.67,158594,0.0306657563271784,6,500,15,83.3333333333333,150,"small","small"
10098,"SEAPORT",86648326,0,0,1,48,48,48,48,"large","small"
10405,"FIVE STAR OF MARYLAND",60306140,0,0,1,4,4,4,4,"large","small"
10477,"CAROLINA",59776932,0,0,1,30,30,30,30,"large","small"
10689,"TWO RIVERS",13124015,0,0,1,2000,2000,2000,2000,"medium","small"
10874,"BROWNSVILLE CITY EMPLOYEES",7121593,0,0,1,11,11,11,11,"small","small"
10923,"N. J. LATVIAN",9102457,0,0,2,0,Inf,NA,-Inf,"small","small"
11582,"VERITAS",41605305,0,0,2,501,201,250.5,300,"medium","small"
11669,"BACK MOUNTAIN",10174698,0,0,1,37,37,37,37,"medium","small"
11706,"WYOCHEM",24838400,0,0,1,240,240,240,240,"medium","small"
12562,"SOUTHCOAST",52380483,3876766,0.076855761358072,2,3800,1900,1900,1900,"large","small"
12591,"THE HEART CENTER",19524857,0,0,1,100,100,100,100,"medium","small"
13144,"PRESTON",30206722,0,0,1,4,4,4,4,"medium","small"
13291,"ELEMENT",54768413,0,0,7,80,4,11.4285714285714,25,"large","small"
14359,"LOWER EAST SIDE PEOPLE'S",70772685.67,1281529,0.0183289409946314,3,2575,25,858.333333333333,2500,"large","small"
15031,"WHITE COUNTY",15174539,0,0,2,56,6,28,50,"medium","small"
16231,"WELCOME",90584447.25,3106569,0.0345913030610201,4,3913,4,978.25,2700,"large","small"
17277,"CENTURYFIRST",53745213,0,0,1,415,415,415,415,"large","small"
17767,"CAROLINA COOPERATIVE",44225552,0,0,1,8,8,8,8,"medium","small"
17980,"NATURAL STATE",6021518,0,0,3,14,4,4.66666666666667,5,"small","small"
18036,"THE NEW HORIZONS",11846804,815378,0.0712798149157519,2,25,10,12.5,15,"medium","small"
20811,"ELECTEL COOPERATIVE",55650001,0,0,1,11000,11000,11000,11000,"large","small"
21296,"DESERT RIVERS",47628933,0,0,1,7,7,7,7,"medium","small"
24025,"RESOURCE",38216144,0,0,1,31,31,31,31,"medium","small"
26412,"UNION BAPTIST CHURCH",151994,0,0,1,350,350,350,350,"small","small"
26456,"CLEAN ENERGY",16835738.43,3971622,0.274593266680743,7,27904,353,3986.28571428571,20831,"medium","small"
