"join_no","name","avg_assets","asset_growth_num","asset_growth_pct","num_groups_added","total_members_added","min_members_added","avg_members_added","max_members_added","cu_size","cu_size2"
7,"THE NEW ORLEANS FIREMEN'S",194687971.44,26839585,0.147792872597237,9,1010,2,112.222222222222,450,"xlarge","medium"
17,"WATERBURY CONNECTICUT TEACHERS",277588615,0,0,1,850,850,850,850,"xlarge","medium"
91,"LOUISIANA",336999023.87,34872494,0.111027975737152,31,1171,1,37.7741935483871,375,"xlarge","medium"
124,"INFIRST",189039951.8,17113330,0.0952953042516917,5,258,3,51.6,140,"xlarge","medium"
219,"RAILROAD & INDUSTRIAL",396799273.32,49954472,0.135626979623685,74,9000,1,121.621621621622,1770,"xlarge","medium"
222,"GREATER NEW ORLEANS",142208537,0,0,1,13,13,13,13,"xlarge","medium"
232,"DEEPWATER INDUSTRIES",105914641,0,0,2,588,294,294,294,"xlarge","medium"
302,"PASADENA",182701869,0,0,3,537,37,179,250,"xlarge","medium"
433,"MIAMI FIREFIGHTERS",130886049,0,0,1,730,730,730,730,"xlarge","medium"
486,"GOLD COAST",207113325,41643756,0.215511614368491,3,1036,10,345.333333333333,1000,"xlarge","medium"
603,"RANCHO",113394535,0,0,1,19000,19000,19000,19000,"xlarge","medium"
860,"SPERRY ASSOCIATES",265352892,0,0,2,27,9,13.5,18,"xlarge","medium"
1275,"USX",238777366.17,19278973,0.0828997405805096,12,1453,2,121.083333333333,1000,"xlarge","medium"
1284,"SECURITYPLUS",432591081,0,0,1,160,160,160,160,"xlarge","medium"
1335,"CHICAGO PATROLMEN'S",441636357.32,40522985,0.0961978682370737,28,11194,4,399.785714285714,6320,"xlarge","medium"
1511,"TRUENERGY",129381225,0,0,3,12,2,4,6,"xlarge","medium"
1770,"SOUTH JERSEY",436944082.5,37042974,0.0892700741698604,8,1118,5,139.75,700,"xlarge","medium"
1809,"SERVICE 1",160352664.5,13310633,0.0866028800965388,2,28,6,14,22,"xlarge","medium"
1811,"GENERAL ELECTRIC EMPLOYEES",253129041,0,0,1,3,3,3,3,"xlarge","medium"
2083,"NET",219266297,21546208,0.104962837760864,13,495,1,38.0769230769231,170,"xlarge","medium"
2121,"COOPERATIVE CENTER",130187123,0,0,1,200,200,200,200,"xlarge","medium"
2338,"FORT FINANCIAL",271427656,0,0,1,66438,66438,66438,66438,"xlarge","medium"
2371,"KAUAI GOVERNMENT EMPLOYEES",125192457.93,-1417144,-0.0114240281699356,15,404,2,26.9333333333333,160,"xlarge","medium"
2566,"CENTURY",459394041,0,0,3,474,124,158,200,"xlarge","medium"
