state,fill_rate,total_members,board_white,board_black,board_api,board_native,board_mult,board_hisp,state_white,state_black,state_api,state_native,state_mult,state_hisp,diff_white,diff_black,diff_api,diff_native,diff_mult,diff_hisp,diff_avg
Ohio,97.7,1308,92.97,6.12,0.38,0,0.08,0.46,78.3,12.4,2.4,0.1,2.8,4,14.67,-6.28,-2.02,-0.1,-2.72,-3.54,4.89
Oklahoma,100,412,93.69,4.37,0,0.97,0,0.97,64.9,7.1,2.3,7.7,6.9,11.1,28.79,-2.73,-2.3,-6.73,-6.9,-10.13,9.6
Oregon,98.5,391,95.91,0.26,1.79,0,0.51,1.53,74.9,1.8,4.8,1,4.1,13.4,21.01,-1.54,-3.01,-1,-3.59,-11.87,7
Pennsylvania,98.6,2206,95.01,4.22,0.45,0,0,0.32,75.6,10.7,3.5,0.1,2.3,7.8,19.41,-6.48,-3.05,-0.1,-2.3,-7.48,6.47
Puerto Rico,91.7,44,0,0,0,0,0,100,1.3,0.1,0,0.1,0.3,98.2,-1.3,-0.1,0,-0.1,-0.3,1.8,0.6
Rhode Island,100,150,96.67,1.33,0,0,0,2,70.8,5.8,3.4,0.2,3.5,16.3,25.87,-4.47,-3.4,-0.2,-3.5,-14.3,8.62
South Carolina,97.7,378,64.55,34.66,0,0,0,0.79,63.5,26.3,1.8,0.3,2.3,5.8,1.05,8.36,-1.8,-0.3,-2.3,-5.01,3.14
South Dakota,97.2,209,97.61,0,0.96,1.44,0,0,81.5,2.3,1.5,8.4,2.6,3.7,16.11,-2.3,-0.54,-6.96,-2.6,-3.7,5.37
Tennessee,100,835,81.68,17.6,0,0,0.12,0.6,73.3,16.6,1.8,0.3,2.3,5.7,8.38,1,-1.8,-0.3,-2.18,-5.1,3.13
Texas,99.5,2830,71.8,10.53,1.63,0,0,16.04,41.1,11.9,5,0.3,2,39.7,30.7,-1.37,-3.37,-0.3,-2,-23.66,10.23
Utah,100,374,98.4,0,0.27,0,0.27,1.07,77.7,1.1,3.3,0.9,2.6,14.4,20.7,-1.1,-3.03,-0.9,-2.33,-13.33,6.9
Vermont,100,133,99.25,0,0.75,0,0,0,92.5,1.3,1.5,0.4,2.3,2,6.75,-1.3,-0.75,-0.4,-2.3,-2,2.25
Virginia,98.5,772,77.2,21.11,0.78,0,0,0.91,61.1,19,6.7,0.2,3.3,9.7,16.1,2.11,-5.92,-0.2,-3.3,-8.79,6.07
Washington,97.6,607,96.21,0.16,1.48,0.49,0.49,1.15,67.3,3.9,9.5,1.1,5.2,13,28.91,-3.74,-8.02,-0.61,-4.71,-11.85,9.64
West Virginia,100,475,97.05,2.32,0.42,0,0.21,0,92,3.6,0.8,0.2,1.9,1.5,5.05,-1.28,-0.38,-0.2,-1.69,-1.5,1.68
Wisconsin,97.5,752,96.41,1.46,0.27,1.06,0.13,0.66,80.8,6.3,3,0.8,2,7.1,15.61,-4.84,-2.73,0.26,-1.87,-6.44,5.29
Wyoming,100,128,97.66,0,0,0.78,0,1.56,83.7,1.1,0.9,2.1,2.1,10.1,13.96,-1.1,-0.9,-1.32,-2.1,-8.54,4.65
