"","JOIN_NUMBER","assets","years","highest_degree"
"164",2180,63451406,20,"Bachelor's"
"165",2184,491445345,12,"Master's"
"166",2201,480592227,25,"Master's"
"167",2221,76470896,22,"Master's"
"168",2251,35301148,34,"Bachelor's"
"169",2291,27297115,3,"Bachelor's"
"170",2303,57531053,19,"Bachelor's"
"171",2306,310671882,20,"Master's"
"172",2313,545382063,12,"Master's"
"173",2338,319427300,20,"Master's"
"174",2344,158287045,20,"Bachelor's"
"175",2371,129484445,9,"Master's"
"176",2376,281344212,6,"Bachelor's"
"177",2395,90716753,17,"Bachelor's"
"178",2400,7912747,2,"Bachelor's"
"179",2406,76753893,35,"Bachelor's"
"180",2407,467163414,15,"Master's"
"181",2434,237414238,4,"Master's"
"182",2435,99257252,23,"Bachelor's"
"183",2439,734137244,27,"Master's"
"184",2471,58261413,30,"Master's"
"185",2479,677679097,24,"Bachelor's"
"186",2499,253182085,3,"Bachelor's"
"187",2500,25478795,25,"Bachelor's"
"188",2505,71072663,17,"Bachelor's"
"189",2511,121066127,14,"Bachelor's"
"190",2559,27914317,39,"Master's"
"191",2566,472265516,24,"Bachelor's"
"192",2593,542932551,8,"Bachelor's"
"193",2614,208665235,24,"Bachelor's"
"194",2631,85071262,8,"Bachelor's"
"195",2635,8085183,21,"Master's"
"196",2661,330264943,16,"Bachelor's"
"197",2665,50636036,38,"Bachelor's"
"198",2686,62146159,14,"Bachelor's"
"199",2695,92224572,43,"Master's"
"200",2706,35606524,6,"Bachelor's"
"201",2778,298382307,34,"Bachelor's"
"202",2789,659999024,24,"Master's"
"203",2802,383040143,11,"Bachelor's"
"204",2817,12575736,18,"Bachelor's"
"205",2821,5174911,22,"Master's"
"206",2822,29545403,28,"Associate's"
"207",2835,885560343,22,"Bachelor's"
"208",2870,11512967,22,"Master's"
"209",2904,68840,12,"Associate's"
"210",2914,24715221,24,"Bachelor's"
"211",2924,35001110,19,"Bachelor's"
"212",2944,813295212,32,"Master's"
"213",2974,118574832,19,"Bachelor's"
"214",2990,110841450,20,"Master's"
"215",3008,155505032,6,"Master's"
"216",3009,418966782,20,"Bachelor's"
"217",3014,20547462,3,"Bachelor's"
"218",3028,58800979,19,"Bachelor's"
"219",3040,124102781,7,"Bachelor's"
"220",3093,217873323,19,"Master's"
"221",3100,91673572,16,"Master's"
"222",3119,79290671,17,"Bachelor's"
"223",3122,828443436,17,"Master's"
"224",3146,135111891,29,"Master's"
"225",3153,13362431,40,"Associate's"
"226",3177,79038398,38,"Doctorate's"
