"","JOIN_NUMBER","assets","years","highest_degree"
"700",16628,63042422,32,"Bachelor's"
"701",16650,287522937,30,"Bachelor's"
"702",16653,343191979,36,"Bachelor's"
"703",16675,111843147,10,"Bachelor's"
"704",16682,92453108,35,"Master's"
"705",16684,15196367,40,"Associate's"
"706",16697,92593215,31,"Bachelor's"
"707",16728,841112093,32,"Master's"
"708",16745,47879782,14,"Bachelor's"
"709",16748,14772395,15,"Bachelor's"
"710",16750,212885408,23,"Associate's"
"711",16760,59299183,11,"Bachelor's"
"712",16770,47553403,8,"Bachelor's"
"713",16779,31938803,6,"Associate's"
"714",16797,61231431,24,"Bachelor's"
"715",16839,17037380,32,"Master's"
"716",16849,241483687,15,"Master's"
"717",16852,19609877,8,"Master's"
"718",16857,92162452,13,"Master's"
"719",16858,19466504,9,"Bachelor's"
"720",16896,125194080,5,"Associate's"
"721",16907,37801522,9,"Bachelor's"
"722",16919,164152515,11,"Bachelor's"
"723",16922,24817019,15,"Bachelor's"
"724",16935,303498082,33,"Bachelor's"
"725",16959,31050732,18,"Master's"
"726",16990,45817095,18,"Master's"
"727",17013,156072665,5,"Master's"
"728",17014,51760064,6,"Master's"
"729",17044,7954800,29,"Doctorate's"
"730",17057,361331946,25,"Master's"
"731",17066,182103883,33,"Bachelor's"
"732",17079,25716709,33,"Bachelor's"
"733",17093,2914169,17,"Doctorate's"
"734",17125,262823437,12,"Master's"
"735",17146,15433227,28,"Bachelor's"
"736",17148,264803536,28,"Bachelor's"
"737",17154,610309568,38,"Master's"
"738",17155,491391163,18,"Doctorate's"
"739",17179,30867314,24,"Bachelor's"
"740",17199,3118151,31,"Bachelor's"
"741",17212,233630358,15,"Bachelor's"
"742",17250,2500759,25,"Bachelor's"
"743",17340,298740065,22,"Bachelor's"
"744",17358,245526121,16,"Master's"
"745",17375,415246230,26,"Bachelor's"
"746",17384,47962190,16,"Bachelor's"
"747",17385,679538,15,"Master's"
"748",17411,29198465,24,"Bachelor's"
"749",17441,153871206,14,"Bachelor's"
"750",17443,175988642,20,"Bachelor's"
"751",17460,116391341,39,"Bachelor's"
"752",17502,346574162,26,"Master's"
"753",17503,117469266,17,"Master's"
"754",17532,4811573,25,"Bachelor's"
"755",17539,407214326,20,"Bachelor's"
"756",17546,41868319,34,"Master's"
"757",17547,33795012,15,"Bachelor's"
"758",17558,33494669,27,"Bachelor's"
"759",17615,565236487,28,"Master's"
"760",17626,49513230,14,"Bachelor's"
"761",17627,89201890,13,"Master's"
"762",17636,61788061,13,"Bachelor's"
"763",17818,295567778,33,"Master's"
"764",17823,71224742,22,"Associate's"
"765",17831,255467220,27,"Bachelor's"
"766",17836,562621356,22,"Master's"
"767",17839,84630140,34,"Master's"
"768",17872,452893745,31,"Bachelor's"
"769",17895,75925079,23,"Master's"
"770",17932,25649370,8,"Bachelor's"
"771",17934,34060614,27,"Bachelor's"
"772",17945,355832862,24,"Master's"
"773",18033,803400391,6,"Bachelor's"
"774",18056,405706080,23,"Bachelor's"
"775",18151,232272794,33,"Master's"
"776",18156,174505220,35,"Bachelor's"
"777",18171,51331354,5,"Master's"
"778",18199,111671646,12,"Bachelor's"
"779",18257,185605444,12,"Bachelor's"
"780",18265,122116358,17,"Bachelor's"
"781",18284,24996037,19,"Bachelor's"
"782",18331,105859192,1,"Bachelor's"
"783",18350,71687448,25,"Master's"
"784",18396,161267852,32,"Bachelor's"
"785",18422,318265575,36,"Bachelor's"
"786",18427,148243614,33,"Master's"
"787",18459,99961970,9,"Bachelor's"
"788",18503,70917560,2,"Bachelor's"
"789",18509,82650957,34,"Bachelor's"
"790",18511,375160579,28,"Bachelor's"
"791",18522,27249737,8,"Bachelor's"
"792",18560,291782011,16,"Bachelor's"
"793",18622,19391734,41,"Bachelor's"
"794",18636,82463170,18,"Bachelor's"
"795",18669,415644548,41,"Bachelor's"
"796",18692,11157092,25,"Associate's"
"797",18756,9443901,16,"Bachelor's"
"798",18759,223269077,17,"Master's"
"799",18762,295463566,3,"Master's"
"800",18829,840404705,11,"Bachelor's"
"801",18872,9713015,22,"Bachelor's"
"802",18922,39912199,6,"Bachelor's"
"803",18934,83332230,14,"Bachelor's"
"804",18946,9425587,20,"Master's"
"805",18987,945726495,9,"Bachelor's"
"806",18992,2178296,38,"Bachelor's"
"807",19063,254020443,16,"Bachelor's"
"808",19078,47887599,4,"Master's"
"809",19084,13822588,32,"Bachelor's"
"810",19112,159936694,28,"Bachelor's"
"811",19155,80033997,15,"Bachelor's"
"812",19160,212640771,13,"Master's"
"813",19176,19565198,38,"Bachelor's"
"814",19214,24603740,6,"Bachelor's"
"815",19226,4035304,28,"Bachelor's"
"816",19260,705825145,35,"Bachelor's"
"817",19291,212942780,14,"Bachelor's"
"818",19306,730295603,16,"Bachelor's"
"819",19310,193041023,39,"Bachelor's"
"820",19316,395502946,14,"Master's"
"821",19339,5343809,8,"Associate's"
"822",19487,7334107,22,"Doctorate's"
"823",19510,506537828,27,"Bachelor's"
"824",19533,80821427,26,"Master's"
"825",19616,163915660,31,"Bachelor's"
"826",19639,45077656,34,"Master's"
"827",19648,159971165,14,"Bachelor's"
"828",19686,44151048,18,"Master's"
"829",19699,35531767,12,"Master's"
"830",19719,248655082,9,"Bachelor's"
"831",19731,170045546,22,"Master's"
"832",19741,920315037,2,"Master's"
"833",19785,20984953,3,"Bachelor's"
"834",19821,422546652,3,"Bachelor's"
"835",19998,72210205,37,"Master's"
"836",20032,26983439,11,"Bachelor's"
"837",20039,32614026,14,"Bachelor's"
"838",20084,625651479,28,"Bachelor's"
"839",20178,48079603,13,"Bachelor's"
"840",20206,66204399,8,"Bachelor's"
"841",20235,104369393,7,"Master's"
"842",20267,6836455,5,"Bachelor's"
"843",20292,120164670,5,"Bachelor's"
"844",20340,66293660,27,"Associate's"
"845",20349,74556753,23,"Bachelor's"
"846",20378,63483254,13,"Doctorate's"
"847",20411,1422854,2,"Bachelor's"
"848",20416,14334834,19,"Associate's"
"849",20521,16043398,24,"Master's"
"850",20540,46748984,15,"Bachelor's"
"851",20542,53788038,13,"Master's"
"852",20555,69942838,31,"Bachelor's"
"853",20559,368909946,17,"Master's"
"854",20645,101936254,30,"Bachelor's"
"855",20656,85424276,35,"Bachelor's"
"856",20669,124452709,7,"Master's"
"857",20698,18810478,8,"Bachelor's"
"858",20786,37130626,26,"Bachelor's"
"859",20815,124562392,25,"Master's"
"860",20816,666282607,24,"Bachelor's"
"861",20838,73051028,26,"Bachelor's"
"862",20844,20774196,9,"Master's"
"863",20900,411054371,13,"Bachelor's"
"864",20905,26821714,14,"Bachelor's"
"865",20928,341794082,36,"Master's"
"866",20929,117266185,20,"Bachelor's"
"867",20982,129688412,29,"Master's"
"868",21010,151268774,8,"Master's"
"869",21041,75378522,15,"Master's"
"870",21057,597399972,19,"Bachelor's"
"871",21062,159253376,6,"Bachelor's"
"872",21069,327914997,34,"Bachelor's"
"873",21072,180191149,26,"Bachelor's"
"874",21076,100614820,10,"Master's"
"875",21079,18952045,22,"Bachelor's"
"876",21084,16862970,20,"Bachelor's"
"877",21089,138025572,22,"Bachelor's"
"878",21134,39230245,34,"Bachelor's"
"879",21145,575744573,20,"Bachelor's"
"880",21168,511449564,28,"Master's"
"881",21175,56109442,13,"Bachelor's"
"882",21194,395106299,7,"Bachelor's"
"883",21224,6997828,19,"Bachelor's"
"884",21226,38304055,21,"Bachelor's"
"885",21233,218595407,21,"Master's"
"886",21243,3669692,25,"Bachelor's"
"887",21255,382809343,8,"Master's"
"888",21287,85140715,21,"Bachelor's"
"889",21289,123591855,27,"Bachelor's"
"890",21300,56230203,33,"Bachelor's"
"891",21360,895899514,32,"Bachelor's"
"892",21361,1078797,31,"Bachelor's"
"893",21377,4359547,37,"Bachelor's"
"894",21399,156264965,24,"Bachelor's"
"895",21405,342739603,29,"Bachelor's"
"896",21408,95172729,29,"Bachelor's"
"897",21418,42830164,7,"Bachelor's"
"898",21435,219924840,9,"Bachelor's"
"899",21447,119803227,11,"Bachelor's"
"900",21448,938865257,23,"Master's"
"901",21543,48546431,8,"Bachelor's"
"902",21572,7433523,34,"Bachelor's"
"903",21604,44550955,14,"Bachelor's"
"904",21641,65495861,7,"Bachelor's"
"905",21642,80477826,14,"Bachelor's"
"906",21663,34754402,29,"Bachelor's"
"907",21694,403452107,25,"Master's"
"908",21700,68860349,23,"Associate's"
"909",21706,87199883,25,"Bachelor's"
"910",21713,124363247,27,"Bachelor's"
"911",21741,26263691,22,"Bachelor's"
"912",21789,24161447,9,"Master's"
"913",21808,102959822,38,"Bachelor's"
"914",21821,16227750,44,"Bachelor's"
"915",21826,89103670,10,"Bachelor's"
"916",21831,62443526,28,"Bachelor's"
"917",21833,13988499,14,"Master's"
"918",22226,567240837,48,"Master's"
"919",22232,17850771,23,"Master's"
"920",22238,39692376,22,"Bachelor's"
"921",22239,47095453,9,"Bachelor's"
"922",22280,60018545,26,"Master's"
"923",22309,827093766,18,"Master's"
"924",22322,107657479,31,"Bachelor's"
"925",22347,128692249,10,"Bachelor's"
"926",22376,269406790,14,"Bachelor's"
"927",22450,18635588,29,"Bachelor's"
"928",22467,147932917,4,"Master's"
"929",22471,43896030,25,"Bachelor's"
"930",22473,108081742,25,"Bachelor's"
"931",22494,63372952,14,"Master's"
"932",22498,257575573,21,"Bachelor's"
"933",22517,39813037,14,"Master's"
"934",22529,789850436,30,"Master's"
"935",22533,328411769,35,"Bachelor's"
"936",22541,85014471,40,"Bachelor's"
"937",22624,691376093,9,"Bachelor's"
"938",22645,278106192,26,"Bachelor's"
"939",22650,95114135,34,"Master's"
"940",22661,20027164,36,"Bachelor's"
"941",22663,27761134,31,"Bachelor's"
"942",22669,123231492,19,"Bachelor's"
"943",22675,727186840,4,"Bachelor's"
"944",22678,39941183,15,"Bachelor's"
"945",22680,80963316,37,"Bachelor's"
"946",22681,4775268,11,"Master's"
"947",22696,87686473,33,"Master's"
"948",22706,459285319,33,"Master's"
"949",22716,52446925,42,"Bachelor's"
"950",22717,32833852,6,"Bachelor's"
"951",22718,137026490,9,"Master's"
"952",22736,26569618,4,"Bachelor's"
"953",22809,41083688,22,"Bachelor's"
"954",22818,64799356,7,"Bachelor's"
"955",22848,27557182,14,"Bachelor's"
"956",22862,191191900,19,"Bachelor's"
"957",22953,140897532,16,"Bachelor's"
"958",22957,548349806,2,"Bachelor's"
"959",22958,706338833,27,"Master's"
"960",22960,359947237,21,"Bachelor's"
"961",23003,130164701,28,"Bachelor's"
"962",23007,52537772,26,"Master's"
"963",23018,167911169,10,"Bachelor's"
"964",23031,90491030,20,"Bachelor's"
"965",23062,46066465,17,"Master's"
"966",23095,35789619,7,"Bachelor's"
"967",23679,206959180,15,"Bachelor's"
"968",23850,13587392,24,"Bachelor's"
"969",23852,47452561,20,"Bachelor's"
"970",23858,232849030,17,"Master's"
"971",23868,145962128,4,"Bachelor's"
"972",23879,54350917,15,"Bachelor's"
"973",23897,83321846,19,"Bachelor's"
"974",23901,23915683,8,"Master's"
"975",23915,1213573,18,"Bachelor's"
"976",23964,179558006,25,"Bachelor's"
"977",23977,512284606,21,"Bachelor's"
"978",23990,32226599,11,"Doctorate's"
"979",23994,76627137,6,"Bachelor's"
"980",24022,21903635,16,"Bachelor's"
"981",24043,50823298,32,"Master's"
"982",24077,336134,20,"Bachelor's"
"983",24186,393608291,19,"Master's"
"984",24197,173071180,26,"Master's"
"985",24204,648896811,17,"Master's"
"986",24209,157952435,24,"Master's"
"987",24226,264738627,9,"Bachelor's"
"988",24237,166987612,48,"Master's"
"989",24249,3188903,36,"Associate's"
"990",24254,71075328,40,"Associate's"
"991",24276,294285202,32,"Master's"
"992",24305,722423348,15,"Master's"
"993",24324,20551742,7,"Bachelor's"
"994",24326,321218402,19,"Bachelor's"
"995",24328,987215256,21,"Master's"
"996",24341,11724441,23,"Bachelor's"
"997",24352,47735858,21,"Doctorate's"
"998",25226,101777061,18,"Master's"
"999",25260,21136511,36,"Bachelor's"
"1000",25276,132039943,23,"Master's"
"1001",25307,277564784,12,"Bachelor's"
"1002",25309,345643910,13,"Bachelor's"
"1003",25310,59419758,20,"Master's"
"1004",25538,198929447,1,"Master's"
"1005",26285,18797759,23,"Master's"
"1006",26312,85010627,5,"Master's"
"1007",26345,210677739,19,"Master's"
"1008",26353,54137098,16,"Bachelor's"
"1009",26359,26453609,34,"Master's"
"1010",26380,15893168,25,"Associate's"
"1011",26382,2734402,27,"Master's"
"1012",26424,9700789,13,"Master's"
"1013",26442,857785303,30,"Bachelor's"
"1014",26449,30451034,34,"Doctorate's"
"1015",26450,17046571,26,"Bachelor's"
"1016",26454,1764964,34,"Bachelor's"
"1017",26457,83382927,49,"Master's"
"1018",26460,3096128,41,"Bachelor's"
